Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000243526773761262,0.000695194216249992,0.0705358834951544,0,0,0,0.244158133795926,0.000220776874683651,4.19776582529785E-07,-8.795188461511E-07,0.000132796441652154,-4.52398384755314E-06,0.000111002949818577,0,0,0,0,0,0,package://eHand-6-R/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://eHand-6-R/meshes/base_link.STL,,右手骨架-1;右手外壳-1,c_0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_3,0.00320912202569113,0.00859399982586928,6.43582409587395E-15,0,0,0,0.0067921443639462,2.77578360985886E-07,-3.42850219784687E-08,-2.06604693131393E-21,1.05853327062334E-07,6.41431002149651E-20,2.26313771586283E-07,0,0,0,0,0,0,package://eHand-6-R/meshes/link_3.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://eHand-6-R/meshes/link_3.STL,,食指-1/30101010005534  B版本-1,c_3_1,l_3_1,joint_3,fixed,0.00066978,0.030446,0.14066,-1.6057,0,0,base_link,0,0,0,,,,,,,,,,,,
link_3_1,0.000267570571819472,-0.00999492371154624,4.12031379119771E-08,0,0,0,0.0116916946585731,1.46660946948587E-06,1.62204830329822E-07,4.83048208912357E-12,5.59434583474216E-07,1.51401131252491E-13,1.40998842829647E-06,0,0,0,0,0,0,package://eHand-6-R/meshes/link_3_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://eHand-6-R/meshes/link_3_1.STL,,食指-1/30101010005535  B版本-1,c_3_1,l_3_1,joint_3_1,revolute,0,0,0,0,0,0,link_3,0,0,1,0,0,0,0,,,,,,,,
link_3_2,-0.00166971262934947,-0.00828863142783587,1.74513257629461E-08,0,0,0,0.00863981041049669,8.103233291548E-07,2.65982804192187E-08,2.13820957009872E-12,4.48952829599267E-07,3.02574960584929E-12,7.00443417785463E-07,0,0,0,0,0,0,package://eHand-6-R/meshes/link_3_2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://eHand-6-R/meshes/link_3_2.STL,,食指-1/30101010005532  B版本-1,c_3_2,l_3_2,joint_3_2,revolute,0.00047158,-0.027917,0,0,0,-0.00036835,link_3_1,0,0,1,0,0,0,0,,,,,,,,
link_3_3,-0.00261367294680075,-0.0135058048538154,-1.49004154449441E-05,0,0,0,0.013073909238579,1.02139995278157E-06,2.13440193366664E-08,-1.92545215455559E-10,3.65771135000142E-07,1.0260329592364E-09,9.87720677606761E-07,0,0,0,0,0,0,package://eHand-6-R/meshes/link_3_3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://eHand-6-R/meshes/link_3_3.STL,,食指-1/30101010005527  B版本-3,c_3_3,l_3_3,joint_3_3,revolute,8.4356E-05,-0.021,0,0,0,0.0040167,link_3_2,0,0,1,0,0,0,0,,,,,,,,
link_1,-0.00409465312787687,-1.1850821907796E-05,1.95214264592722E-05,0,0,0,0.00988840232849892,7.92431040493531E-07,-2.81872244799899E-10,4.64317862555068E-10,6.61461971953466E-07,-1.19897654065633E-08,3.21612868197312E-07,0,0,0,0,0,0,package://eHand-6-R/meshes/link_1.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://eHand-6-R/meshes/link_1.STL,,30101010005603-1,c_1,l_1,joint_1,fixed,0.011,0.023,0.06075,0,0,0,base_link,0,0,0,,,,,,,,,,,,
link_1_1,0.00382476136144754,0.00320935584773183,0.000830559651235005,0,0,0,0.00792467413801594,3.39411127065142E-07,-1.128109113471E-07,-2.47981842278548E-08,3.79194341842746E-07,-2.08081472394597E-08,4.01962876432243E-07,0,0,0,0,0,0,package://eHand-6-R/meshes/link_1_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://eHand-6-R/meshes/link_1_1.STL,,大拇指-1/30101010005557  B版本-2,c_1,l_1,joint_1_1,revolute,0,0,0,0,0,0,link_1,0,0,1,0,0,0,0,,,,,,,,
link_2_1,0.0299779716562549,0.000643021055166497,2.23502455432012E-07,0,0,0,0.033845316181136,3.49033471868421E-06,-6.93852711635597E-07,7.21941024020809E-11,1.27569017078695E-05,1.71612585246458E-11,1.27292661310527E-05,0,0,0,0,0,0,package://eHand-6-R/meshes/link_2_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://eHand-6-R/meshes/link_2_1.STL,,大拇指-1/30101010005553  B版本-2;大拇指-1/30101010005554-1,c_2_1,l_2_1,joint_2_1,revolute,0.0091925,0.0077135,0.0013301,1.5708,0.15644,0.69813,link_1_1,0,0,1,0,0,0,0,,,,,,,,
link_2_2,0.00671614320654118,-0.00395157831790253,-8.81505472609401E-09,0,0,0,0.0152642804613885,1.32332794612983E-06,-2.39822775232852E-07,-5.01746426101196E-12,1.65567878125327E-06,-3.75087731610635E-12,1.52543021058749E-06,0,0,0,0,0,0,package://eHand-6-R/meshes/link_2_2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://eHand-6-R/meshes/link_2_2.STL,,大拇指-1/30101010005530  B版本-1,c_2_2,l_2_2,joint_2_2,revolute,0.062,0.008,0,0,0,0,link_2_1,0,0,1,0,0,0,0,,,,,,,,
link_2_3,0.0150743841634644,-0.00535444867406513,-5.46243020593286E-06,0,0,0,0.00953123990894983,5.00685294889874E-07,7.08215468308547E-08,3.103377133078E-10,9.28739958452511E-07,-7.9844627102692E-11,9.51289377169071E-07,0,0,0,0,0,0,package://eHand-6-R/meshes/link_2_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://eHand-6-R/meshes/link_2_3.STL,,大拇指-1/30101010005529-1,c_2_3,l_2_3,joint_2_3,revolute,0.019,0,0,0,0,0,link_2_2,0,0,1,0,0,0,0,,,,,,,,
link_4,0.00320912202501756,0.00859399982357097,5.42448030937948E-15,0,0,0,0.00679214436394153,2.77578360985875E-07,-3.42850219784684E-08,2.04935530932709E-21,1.05853327062315E-07,5.57176827674954E-20,2.26313771586277E-07,0,0,0,0,0,0,package://eHand-6-R/meshes/link_4.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://eHand-6-R/meshes/link_4.STL,,中指-1/30101010005534  B版本-1,c_4_1,l_4_1,joint_4,fixed,0.00066978,0.01012,0.14101,-1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
link_4_1,0.000267572107500621,-0.00999492347430254,4.02182229308073E-08,0,0,0,0.0116916932269171,1.46660945469029E-06,1.62204824887701E-07,4.87094866108887E-12,5.59434454767507E-07,2.09428857944237E-13,1.40998828536485E-06,0,0,0,0,0,0,package://eHand-6-R/meshes/link_4_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://eHand-6-R/meshes/link_4_1.STL,,中指-1/30101010005535  B版本-1,c_4_1,l_4_1,joint_4_1,continuous,0,0,0,0,0,0,link_4,0,0,1,,,,,,,,,,,,
link_4_2,-0.00166971094846635,-0.00828863171959598,1.78464862714278E-08,0,0,0,0.00863981064789362,8.10323350660597E-07,2.65982701216309E-08,2.17743163537052E-12,4.48952841197444E-07,3.0444761478345E-12,7.00443441425687E-07,0,0,0,0,0,0,package://eHand-6-R/meshes/link_4_2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://eHand-6-R/meshes/link_4_2.STL,,中指-1/30101010005532  B版本-1,c_4_2,l_4_2,joint_4_2,revolute,0.00047158,-0.027917,0,0,0,-0.00036835,link_4_1,0,0,1,0,0,0,0,,,,,,,,
link_4_3,-0.00278067646307514,-0.0167277275594282,-3.00126262919587E-05,0,0,0,0.016397348991066,1.78422077208361E-06,-1.07639240674355E-08,-2.98194123602252E-10,4.66892775847849E-07,-1.38039043110699E-09,1.74358331627172E-06,0,0,0,0,0,0,package://eHand-6-R/meshes/link_4_3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://eHand-6-R/meshes/link_4_3.STL,,中指-1/30101010005526  B版本-3,c_4_3,l_4_3,joint_4_3,revolute,8.4366E-05,-0.021,0,0,0,0.0040167,link_4_2,0,0,1,0,0,0,0,,,,,,,,
link_5,0.00320912202502183,0.00859399982357259,3.78343190110542E-15,0,0,0,0.00679214436393442,2.77578360985833E-07,-3.42850219784706E-08,8.10532932293202E-21,1.05853327062284E-07,3.0406745727143E-20,2.26313771586247E-07,0,0,0,0,0,0,package://eHand-6-R/meshes/link_5.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://eHand-6-R/meshes/link_5.STL,,食指-2/30101010005534  B版本-1,c_5_1,l_5_1,joint_5,fixed,0.000669777784259532,-0.0103641666655722,0.140477539964738,-1.51843644923631,0,0,base_link,0,0,0,,,,,,,,,,,,
link_5_1,0.000267574265911061,-0.00999492351016654,3.88298915148313E-08,0,0,0,0.011691691511772,1.46660941912954E-06,1.62204761643886E-07,4.95017537085809E-12,5.59434287278549E-07,2.70800469056372E-13,1.40998810747177E-06,0,0,0,0,0,0,package://eHand-6-R/meshes/link_5_1.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://eHand-6-R/meshes/link_5_1.STL,,食指-2/30101010005535  B版本-1,c_5_1,l_5_1,joint_5_1,revolute,0,0,0,0,0,0,link_5,0,0,1,0,0,0,0,,,,,,,,
link_5_2,-0.00166968691942919,-0.00828863177196471,1.79272965630459E-08,0,0,0,0.00863981209206488,8.10323387961017E-07,2.65982697963818E-08,2.23583513405112E-12,4.48952897945603E-07,3.06002966580964E-12,7.00443511347378E-07,0,0,0,0,0,0,package://eHand-6-R/meshes/link_5_2.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://eHand-6-R/meshes/link_5_2.STL,,食指-2/30101010005532  B版本-1,c_5_2,l_5_2,joint_5_2,revolute,0.00047156,-0.027917,0,0,0,-0.00036835,link_5_1,0,0,1,0,0,0,0,,,,,,,,
link_5_3,-0.00261363331828344,-0.0135058167575116,-1.49385740715689E-05,0,0,0,0.013073985174476,1.02140367513958E-06,2.13440941573318E-08,-1.89809751726961E-10,3.65773407781427E-07,1.02508221090347E-09,9.87724892793395E-07,0,0,0,0,0,0,package://eHand-6-R/meshes/link_5_3.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://eHand-6-R/meshes/link_5_3.STL,,食指-2/30101010005527  B版本-3,c_5_3,l_5_3,joint_5_3,revolute,8.4362E-05,-0.021,0,0,0,0.0040167,link_5_2,0,0,1,0,0,0,0,,,,,,,,
